,QUESTION,ENG,TYPE ENTITE,ROLE SEMANTIQUE,COMMENTAIRES
9535,Quand Edward Gardiner s'est-il marié ?,When,Time,,
814,A quoi assiste l'occident chrétien de la fin du VIIIe siècle à la fin du IXe siècle ?,What,Thing,,
2215,Combien de temps ont duré les débats pour lancer la construction d'un métro?,How_Many,Measure,,
1203,Avec qui COMELI fusionne-t-il ?,Who,Human,,
10006,Quand est-ce qu'on a généraliser le bas fourneau ?,When,Time,,
9574,Quand Joseph-Louis Sanguet s'est-il lancé dans un travail similaire ?,When,Time,,
1377,Combien coûte la mise en place de la comédie musicale sur la vie de Léonard de Vinci ?,How_Many,Measure,,
18142,Qui arrivent à Auschwitz le 14 juin 1940 ?,Who,Human,,
19638,Qui sont les deux premiers à réaliser des histoires originales en Italie autour de Blanche-Neige ?,Who,Human,,
2344,Combien le Royal Picardy contient-il de chambres ?,How_Many,Measure,,
10472,Quand parviennent-ils à rentrer en Angleterre ?,When,Time,,
147,A partir de quelle année DKW utilise-t-elle la traction sur sa Front?,When,Time,,
1790,Combien de jeux intégrés dispose la Firecore ?,How_Many,Measure,,
10199,Quand la civilisation chinoise a-t-elle une grande influence sur le Japon ?,When,Time,,
9971,Quand est publié l'ouvrage terminé par Evelyne de Balzac ?,When,Time,,
6101,En quelle année la place Malesherbes a-t-elle été renommée ?,When,Time,,
1934,Combien de patients de l'hôpital Saint-Jacques sont mort de la grippe ?,How_Many,Measure,,
9517,Quand Constantin 1er est-il renversé de son trône ?,When,Time,,
18496,Qui est chargé de récolter le riz?,Who,Human,,
19835,Qui était Porsenna ?,Who,Human,,
1121,Avec combien d'élévateur le navire fut il soulevé ?,How_Many,Measure,,
19301,Qui pense que ces techniques sont d'influence phénicienne ?,Who,Human,,
17776,Qui a illustré une des éditions du Hobbit ?,Who,Human,,
19869,Qui était le chef du 35e régiment d'infanterie de ligne ?,Who,Human,,
2055,Combien de profits a enregistré la billetterie du club?,How_Many,Measure,,
6516,La fusion comprend quelles architectures ?,0,TransportLine,,
9986,Quand est sortie le film Cendrillon ?,When,Time,,
2260,Combien de trolls capturent la compagnie en chemin pour les Montagnes de Brume ?,How_Many,Measure,,
19310,Qui pense que les salons automobiles sentent mauvais?,Who,Human,,
18790,Qui est le mari d'Estella ?,Who,Human,,
9470,Quand Bourguiba tient-il ce discours ?,When,Time,,
7270,Où se situe le caveau dans lequel l'épouse de Sir Leicester Dedlock se fait enterrer ?,Where,Location,,
9537,Quand Eisenstein arrive-t-il aux USA ?,When,Time,,
18494,Qui est chargé de la stérilisation des objets médicaux ?,Who,Human,,
1222,Avec qui Ibrahim Pacha a-t-il convenu du retrait de ses soldats ?,Who,Human,,
19902,Qui était le roi d'Espagne au retour de Zamora et de l'équipe ?,Who,Human,,
19518,Qui s'occupe du musée après la Seconde Guerre mondiale et refonde la société académique ?,Who,Human,,
705,A qui doit-on la première adaptation de Great Expectations au Royaume-Uni ?,Who,Human,,
18927,Qui est obligée d'aller en Amérique britannique?,Who,Human,,
20662,À qui s'oppose le connétable dans les appartements du roi en 1353 ?,Who,Human,,
10163,Quand l'école Kei connaît elle un grand essor ?,When,Time,,
5818,En quelle année Musharraf résigne-t-il?,When,Time,,
18204,Qui composent la partie exécutive ?,Who,Human,,
9869,Quand de nouvelles classes sont-elles rajoutées à l'école Jeanne d'Arc ?,When,Time,,
745,A qui le monument dans le St. Peter's Garden est il dédié ?,Who,Human,,
10041,Quand est-ce que l'exploitation forestière de Sabah?,When,Time,,
17589,Qui Ras Aloula affronte-t-il le 23 septembre 1885 ?,Who,Human,,
19119,Qui gère les lignes d'omnibus?,Who,Human,,
18675,Qui est la seule personne capable de franchir la mémoire de Pip ?,Who,Human,,
6153,En quelle année le modèle La Nouvelle voit-il le jour?,When,Time,,
1988,Combien de personnes sont mortes à cause des massacres?,How_Many,Measure,,
18480,Qui est assassiné par une femme travestie en la dame ?,Who,Human,,
18857,Qui est le président de la fondation gérant le pavillon des Pays-Bas?,Who,Human,,
10101,Quand est-elle tombée enceinte ?,When,Time,,
19805,Qui écrit un pamphlet contre Fielding?,Who,Human,,
1249,Avec qui Walt est-il enthousiaste à l'idée de travailler ?,Who,Human,,
603,"A quelle ville fait référence le ""club nordiste "" ?",0,Location,,
6393,Grâce à quel arbre les Nauruans construisent-ils leur maison?,0,Plant,,DUPLICATED
1475,Combien d'hommes Yohannes rassemble-t-il après la médiation avec les Italiens ?,How_Many,Measure,,
18273,Qui demande que les bâtiments soient utilisés comme hôpital ?,Who,Human,,
20629,À qui News Corporation et Exor veulent acheter les parts du cpaite de la Formule 1 ?,Who,Human,,
7540,Par qui Coppi est-il battu?,Who,Human,,
10285,Quand le St. John's College reçut il sa charte du corps législatif de l'Etat de New York ?,When,Time,,
10542,Quand sort le film Les aventures de Winnie l'ourson ?,When,Time,,
7392,Où sont placés les téléphones ?,Where,Location,,
1721,Combien de danseuses dansent ce mouvement ?,How_Many,Measure,,
18315,Qui dirige les mouvements populaires ?,Who,Human,,
19074,Qui fait la renommée de l'école de Saint-Gall ?,Who,Human,,
8051,Pour qui a été écrit The Servatn's Friend?,Who,Human,,
1400,Combien d'années de catéchisme restait-il à la jeune Yaméogo?,How_Many,Measure,,
19334,"Qui portait le nom ,possiblement le surnom de Azaghâl?",Who,Human,,
1344,Chez qui Kitty habitera-t-elle?,Who,Human,,
19839,Qui était Robert Watts ?,Who,Human,,
7211,Où se passe le poème de l'Été ?,Where,Location,,
19505,Qui s'est penché sur l'analyse narrative de Dickens?,Who,Human,,
10295,Quand le bébé des maîtres de Lady est-il naît ?,When,Time,,
19331,Qui peut être considéré comme un mari fidèle?,Who,Human,,
1709,Combien de courses d'obstacle sont organisées en France chaque année ?,How_Many,Measure,,
219,A quand remonte la première ascension par cet itinéraire ?,When,Time,,
7076,Où les Britanniques et les Américains veulent-ils conserver la 9e division ?,Where,Location,,
19397,Qui raconte les prophéties à Blaise ?,Who,Human,,
297,A quel instrument est associé le personnage de Porcinet ?,0,Concrete,,
18884,Qui est le second commandant du camp?,Who,Human,,
5902,En quelle année a été fondé le Celtic ?,When,Time,,
